[绘夏！烈日？度假村！其三「惊遇！等待众人的将是…？」] 过场动画绘夏！烈日？度假村！其三 惊遇！等待众人的将是···？ （燧石余火） 过场动画
[绘夏！烈日？度假村！其三「惊遇！等待众人的将是…？」] 过场动画绘夏！烈日？度假村！其三 惊遇！等待众人的将是···？  （热舞狂欢） 过场动画
[绘夏！烈日？度假村！其四「收幕！将夏夜染作缤纷！」] 获得娜娜丝梨饼
[绘夏！烈日？度假村！其四「收幕！将夏夜染作缤纷！」] 和朋友们共度了一段愉快的时光…
[何处盛放的蔷薇] 一段时间之后，薇若妮卡带着修好的留影机回来了⋯
[何处盛放的蔷薇] 一段时间之后⋯
[何处盛放的蔷薇] 在众人的努力之下，影片最终有惊无险地拍完了⋯
[何处盛放的蔷薇] 虽然中途又发生了些意外，但都被大家一一克服⋯
[何处盛放的蔷薇] •和众人聊天（0/2）
[何处盛放的蔷薇] 【当前场景对话】
[何处盛放的蔷薇] 【剧情后对话】
[何处盛放的蔷薇] 【剧情后对话】
[何处盛放的蔷薇] •和众人聊天
[何处盛放的蔷薇] •前往仓库
[何处盛放的蔷薇] 【过场动画-「两个铳枪手」】
[何处盛放的蔷薇] 宵宫 :
[何处盛放的蔷薇] ⋯里面好黑啊
[何处盛放的蔷薇] 莫里斯先生在这里等一下
[何处盛放的蔷薇] 我记得灯的开关实在这边⋯
[何处盛放的蔷薇] ⋯咂，我为什么要来做这种⋯
[何处盛放的蔷薇] ⋯呃啊！什⋯什么声音？！
[何处盛放的蔷薇] 谁？！救命啊！
[何处盛放的蔷薇] ⋯你真以为自己逃得掉吗？莫里斯
[何处盛放的蔷薇] 你找错人了！
[何处盛放的蔷薇] 不是我，人不是我杀的！
[何处盛放的蔷薇] 知道吗？埃莉莎死前，可没像你这样狼狈
[何处盛放的蔷薇] 为了不让藏在地板下的孩子被发现
[何处盛放的蔷薇] 她和你雇的杀手搏斗到了最后一刻
[何处盛放的蔷薇] 这是埃莉莎的挂坠
[何处盛放的蔷薇] 里面还有你和她的画片
[何处盛放的蔷薇] 你不会忘了吧？
[何处盛放的蔷薇] 是你送给她的
[何处盛放的蔷薇] 这⋯不可能
[何处盛放的蔷薇] 这是假的！这应该⋯
[何处盛放的蔷薇] 应该被你雇的杀手给销毁了
[何处盛放的蔷薇] 对吗？
[何处盛放的蔷薇] 你难道真的没有爱过她吗？莫里斯
[何处盛放的蔷薇] 为什么要狠下心来杀了她？
[何处盛放的蔷薇] 不不不，你冷静，你听我说！
[何处盛放的蔷薇] 我告诉过埃莉莎不能暴露我们的事
[何处盛放的蔷薇] 还给过她很大一笔钱！
[何处盛放的蔷薇] 我没想到她会把孩子生下来！
[何处盛放的蔷薇] 事情马上就要瞒不住了
[何处盛放的蔷薇] 我也是实在没办法才那样做的！
[何处盛放的蔷薇] 不，求你了
[何处盛放的蔷薇] 你要什么？
[何处盛放的蔷薇] 你要多少钱我都给！
[何处盛放的蔷薇] 带着你的钱
[何处盛放的蔷薇] 去地狱里忏悔吧
[何处盛放的蔷薇] ⋯⋯？
[何处盛放的蔷薇] 我是枫丹特巡队队长夏沃蕾
[何处盛放的蔷薇] 莫里斯
[何处盛放的蔷薇] 我现在以「谋杀埃莉莎」的罪名将你逮捕
[何处盛放的蔷薇] 嘁⋯
[何处盛放的蔷薇] 同样被逮捕的还有你
[何处盛放的蔷薇] 道具师薇若妮卡
[何处盛放的蔷薇] 还是说
[何处盛放的蔷薇] 我该叫你——第二位铳枪手？
[何处盛放的蔷薇] ⋯⋯
[何处盛放的蔷薇] 和剧组的人说明了事情的经过⋯
[何处盛放的蔷薇] 选择“会和你做一样的事。”
[何处盛放的蔷薇] 选择“我会帮他完成复仇。”
[何处盛放的蔷薇] 选择“我不知道⋯”
[何处盛放的蔷薇] （无追加对话）
[何处盛放的蔷薇] •与夏沃蕾比赛游泳
[何处盛放的蔷薇] •跟随夏沃蕾
[何处盛放的蔷薇] 【剧情结束后彩蛋】
[景框内外的虚实] •等待到第二天早晨（8-10点）
[景框内外的虚实] •前往德波大饭店进行拍摄
[景框内外的虚实] •寻找需要帮忙的人
[景框内外的虚实] 【当前场景对话】
[景框内外的虚实] 【剧情触发后场景对话变成】
[景框内外的虚实] •准备开始拍摄
[景框内外的虚实] 拍摄稳步进行，芙宁娜将细节调整至她满意之后，进入了第二场拍摄⋯
[景框内外的虚实] 一天的拍摄时间很快过去⋯
[景框内外的虚实] •前往莱舒的发条工坊进行调查
[景框内外的虚实] •前往博蒙特工坊进行调查
[景框内外的虚实] •前往灰河进行调查
[景框内外的虚实] •在灰河进行调查
[景框内外的虚实] 【泰托】
[景框内外的虚实] 【埃米雷德】
[景框内外的虚实] 选择“什么手段？”
[景框内外的虚实] 选择“我也想要果果软糖。”
[景框内外的虚实] 【观察】
[景框内外的虚实] 【观察后的场景对话】
[景框内外的虚实] 【调查完三个地点】
[两个铳枪手的凯旋] •等待到两天后
[两个铳枪手的凯旋] •前往千灵映影节会场
[两个铳枪手的凯旋] 自那之后又过了一阵子⋯
[两个铳枪手的凯旋] 影片顺利上映，铳枪杀人事件也正式结案⋯
[两个铳枪手的凯旋] •前往梅洛彼得堡找夏沃蕾
[两个铳枪手的凯旋] 【当前场景对话】
[两个铳枪手的凯旋] •返回千灵映影节会场
[两个铳枪手的凯旋] 【当前场景对话】
[两个铳枪手的凯旋] 【剧情完成后彩蛋】
[「水的女儿」: 司颂之章 第一幕] 前往枫丹廷的冒险家协会
[「水的女儿」: 司颂之章 第一幕] 询问芙宁娜的意向
[「水的女儿」: 司颂之章 第一幕] 把剧团的最后演出一事告诉了芙宁娜。
[「水的女儿」: 司颂之章 第一幕] 回去转达芙宁娜的态度
[「水的女儿」: 司颂之章 第一幕] 前往排练场地
[「水的女儿」: 司颂之章 第一幕] 进入排练场地
[「水的女儿」: 司颂之章 第一幕] 前往白淞镇寻找波洛
[「水的女儿」: 司颂之章 第一幕] 陪芙宁娜散心
[「水的女儿」: 司颂之章 第一幕] 继续陪芙宁娜散心
[「水的女儿」: 司颂之章 第一幕] 与芙宁娜交谈
[「水的女儿」: 司颂之章 第一幕] 回去找波洛
[「水的女儿」: 司颂之章 第一幕] 前去寻找维尔芒
[「水的女儿」: 司颂之章 第一幕] 击败眼前的魔物
[「水的女儿」: 司颂之章 第一幕] 继续前往维尔芒的所在之处
[「水的女儿」: 司颂之章 第一幕] 迪尔菲向维尔芒解释了来龙去脉。
[「水的女儿」: 司颂之章 第一幕] 去沫芒宫寻找团长的物品
[「水的女儿」: 司颂之章 第一幕] 塞德娜托人将奥蕾丽的遗物箱取了出来。
[「水的女儿」: 司颂之章 第一幕] 将团长的记录带回
[「水的女儿」: 司颂之章 第一幕] 众人读完本子中的内容，有人沉默不语，有人痛哭流涕，有人咬牙怒吼…
[「水的女儿」: 司颂之章 第一幕] 许久之后，方才重归平静，达成共识。
[「水的女儿」: 司颂之章 第一幕] 找到那维莱特
[「水的女儿」: 司颂之章 第一幕] 将「水的女儿」台前幕后的故事告诉了那维莱特。
[「水的女儿」: 司颂之章 第一幕] 返回排练场地，协助排练
[「水的女儿」: 司颂之章 第一幕] 前往歌剧院协助表演
[「水的女儿」: 司颂之章 第一幕] 与芙宁娜和剧团成员交谈
[「水的女儿」: 司颂之章 第一幕] 返回探望迪尔菲与劳维克
[游水酝诗籍 第三首 幽潭心] 等到第二天白天（8-10点）
[游水酝诗籍 第三首 幽潭心] 前往活动会场
[游水酝诗籍 第三首 幽潭心] 寻找卡莉露
[游水酝诗籍 第三首 幽潭心] 和众人讲述了昨天采风时发生的事…
[游水酝诗籍 第三首 幽潭心] 追赶树叶
[游水酝诗籍 第三首 幽潭心] 捡起树叶
[游水酝诗籍 第三首 幽潭心] 跟随米卡
[游水酝诗籍 第三首 幽潭心] 寻找卡莉露
[游水酝诗籍 第三首 幽潭心] 驱赶魔物
[游水酝诗籍 第三首 幽潭心] 与卡莉露对话
[游水酝诗籍 第三首 幽潭心] 在众人的注视下，水珠慢慢变回了卡莉露的模样…
[游水酝诗籍 第三首 幽潭心] 前往清泉镇
[游水酝诗籍 第三首 幽潭心] 与老芬奇对话
[游水酝诗籍 第三首 幽潭心] 与卡莉露对话
[游水酝诗籍 第三首 幽潭心] 礼貌地闭上了眼…
[游水酝诗籍 第三首 幽潭心] 返回活动会场
[游水酝诗籍 第二首 叶间泪] 等到第二天白天（8-10点）
[游水酝诗籍 第二首 叶间泪] 前往活动会场
[游水酝诗籍 第二首 叶间泪] 花了些时间将大家聚集到一起，简要描述了事情原委…
[游水酝诗籍 第二首 叶间泪] 众人依次完成了抽签…
[游水酝诗籍 第二首 叶间泪] 随重云前往事件发生的地方
[游水酝诗籍 第二首 叶间泪] 采集新鲜的绝云椒椒
[游水酝诗籍 第二首 叶间泪] 击败水史莱姆
[游水酝诗籍 第二首 叶间泪] 与迪奥娜对话
[游水酝诗籍 第二首 叶间泪] 在你们的指导下，迪奥娜嘟着嘴调了一杯冰镇饮品让重云服下…
[游水酝诗籍 第二首 叶间泪] 捡起水中的树叶
[游水酝诗籍 第二首 叶间泪] 前往上游放下回诗
[游水酝诗籍 第二首 叶间泪] 和大家一起「采风」
[游水酝诗籍 第二首 叶间泪] 收集附近的木材
[游水酝诗籍 第二首 叶间泪] 收集附近的食材
[游水酝诗籍 第二首 叶间泪] 采集新鲜的树莓
[游水酝诗籍 第二首 叶间泪] 整理物资
[游水酝诗籍 第二首 叶间泪] 回营地与诺艾尔对话
[游水酝诗籍 第二首 叶间泪] 大家一起生起了火，处理了食材…
[游水酝诗籍 第二首 叶间泪] 不出多久，一顿美味的饭菜就做好了…
[游水酝诗籍 第二首 叶间泪] 与桥头的女子对话
[游水酝诗籍 第二首 叶间泪] 返回活动会场
[游水酝诗籍 第二首 叶间泪] 会场越来越热闹，欢声笑语间，已至夜晚…
[游水酝诗籍 第二首 叶间泪] 主持人宣布今日活动结束后，人们才依依不舍地散去…
[游水酝诗籍 第一首「言欢聚」] 前往望舒客栈
[游水酝诗籍 第一首「言欢聚」] 前往石门
[游水酝诗籍 第一首「言欢聚」] 与众人对话
[游水酝诗籍 第一首「言欢聚」] 参与活动的开幕
[游水酝诗籍 第一首「言欢聚」] 突然，一阵强风吹得人们闭上了眼。
[游水酝诗籍 第一首「言欢聚」] 查看第一个诗谜
[游水酝诗籍 第一首「言欢聚」] 查看第二个诗谜
[游水酝诗籍 第一首「言欢聚」] 查看第三个诗谜
[游水酝诗籍 第一首「言欢聚」] 等待猜诗谜活动开始
[游水酝诗籍 第一首「言欢聚」] 诗谜活动继续进行，大家有说有笑，时间很快过去…
[游水酝诗籍 第一首「言欢聚」] 与行秋和重云对话
[于怨嗟之地重生：守狱犬之章 第一幕] 前往梅洛彼得堡的监舍区
[于怨嗟之地重生：守狱犬之章 第一幕] 你们环顾四周，寻找说话人的身影…
[于怨嗟之地重生：守狱犬之章 第一幕] 在升降平台附近寻找帽子
[于怨嗟之地重生：守狱犬之章 第一幕] 在箱子附近寻找帽子
[于怨嗟之地重生：守狱犬之章 第一幕] 在护栏附近寻找帽子
[于怨嗟之地重生：守狱犬之章 第一幕] 去「破烂骨头商店」
[于怨嗟之地重生：守狱犬之章 第一幕] 一阵犹豫之后，派蒙很克制地挑选了两种点心。
[于怨嗟之地重生：守狱犬之章 第一幕] 将帽子送回去
[于怨嗟之地重生：守狱犬之章 第一幕] 与莱欧斯利一同前往特许食堂
[于怨嗟之地重生：守狱犬之章 第一幕] 过了一会儿，韦尔赛把饮料送了上来。
[于怨嗟之地重生：守狱犬之章 第一幕] 派蒙抓起宝石，表情变得很难受...
[于怨嗟之地重生：守狱犬之章 第一幕] 你拿起宝石，脑海中闪过许多难以释怀地画面...
[于怨嗟之地重生：守狱犬之章 第一幕] 前往「檐帽会」的休息处
[于怨嗟之地重生：守狱犬之章 第一幕] 与「檐帽会」成员随便聊聊（0/3）
[于怨嗟之地重生：守狱犬之章 第一幕] 与「檐帽会」成员随便聊聊（1/3）
[于怨嗟之地重生：守狱犬之章 第一幕] 与「檐帽会」成员随便聊聊（2/3）
[于怨嗟之地重生：守狱犬之章 第一幕] 与莱欧斯利交谈
[于怨嗟之地重生：守狱犬之章 第一幕] 你们回到了莱欧斯利的身旁…
[于怨嗟之地重生：守狱犬之章 第一幕] 费索勒走近，看到你和莱欧斯利也在…
[于怨嗟之地重生：守狱犬之章 第一幕] 他不知为何急忙转过身去，却还是被派蒙认了出来。
[于怨嗟之地重生：守狱犬之章 第一幕] 莱欧斯利取手铐时，忽然听见一声脆响，好像有东西掉了出来…
[于怨嗟之地重生：守狱犬之章 第一幕] 在有些困惑的情况下，你们与莱欧斯利离开了「檐帽会」的休息处。
[于怨嗟之地重生：守狱犬之章 第一幕] 再次返回「檐帽会」的休息处
[于怨嗟之地重生：守狱犬之章 第一幕] 再次与「檐帽会」成员交谈
[于怨嗟之地重生：守狱犬之章 第一幕] 再次与「檐帽会」成员交谈
[于怨嗟之地重生：守狱犬之章 第一幕] 再次与「檐帽会」成员交谈
[于怨嗟之地重生：守狱犬之章 第一幕] 将感受告知莱欧斯利
[于怨嗟之地重生：守狱犬之章 第一幕] 等待至晚上18-24点
[于怨嗟之地重生：守狱犬之章 第一幕] 按照约定去见莱欧斯利
[于怨嗟之地重生：守狱犬之章 第一幕] 在莱欧斯利的办公室等待了一段时间之后…
[于怨嗟之地重生：守狱犬之章 第一幕] 阿维丝脱帽，摘下发卡…
[于怨嗟之地重生：守狱犬之章 第一幕] 莱欧斯利拿出之前那块黑色宝石…
[于怨嗟之地重生：守狱犬之章 第一幕] 但莱欧斯利查看一番，并没有看到异状。
[于怨嗟之地重生：守狱犬之章 第一幕] 莱欧斯利摆弄了几下发卡之后。
[于怨嗟之地重生：守狱犬之章 第一幕] 莱欧斯利忽然用力，将眼前的黑色宝石用空心锥刺破…
[于怨嗟之地重生：守狱犬之章 第一幕] 前往「檐帽会」的休息处
[于怨嗟之地重生：守狱犬之章 第一幕] 在此地搜查线索
[于怨嗟之地重生：守狱犬之章 第一幕] 在此地搜查线索
[于怨嗟之地重生：守狱犬之章 第一幕] 在此地搜查线索
[于怨嗟之地重生：守狱犬之章 第一幕] 与莱欧斯利交谈
[于怨嗟之地重生：守狱犬之章 第一幕] 前往生产区
[于怨嗟之地重生：守狱犬之章 第一幕] 跟随莱欧斯利调查生产区
[于怨嗟之地重生：守狱犬之章 第一幕] 与被抓住的「檐帽会」成员交谈
[于怨嗟之地重生：守狱犬之章 第一幕] 前往「檐帽会」真正的藏身处
[于怨嗟之地重生：守狱犬之章 第一幕] 与莱欧斯利交谈
[于怨嗟之地重生：守狱犬之章 第一幕] 向深处探索
[于怨嗟之地重生：守狱犬之章 第一幕] 解救受害者，调查情况
[于怨嗟之地重生：守狱犬之章 第一幕] 我保证不会再逃跑。
[于怨嗟之地重生：守狱犬之章 第一幕] 我保证只在允许的时候说话。
[于怨嗟之地重生：守狱犬之章 第一幕] 我保证在「训诫」全程保持意识清醒。
[于怨嗟之地重生：守狱犬之章 第一幕] 我保证坚决执行由杜吉耶大人下达的任何命令。我保证积极揭发同组成员一切可能影响团结的行为。
[于怨嗟之地重生：守狱犬之章 第一幕] 我保证如有违反誓言的情况发生,自愿接受四级以上的刑罚。
[于怨嗟之地重生：守狱犬之章 第一幕] （全文均由手写而成，纸张褶皱，字迹凌乱，由此判断是在极度的痛苦中写下。）
[于怨嗟之地重生：守狱犬之章 第一幕] （纸张最后以指印代替了签名，但从痕迹判断，肯定不是印泥这种温柔的颜料。）
[于怨嗟之地重生：守狱犬之章 第一幕] 继续向前探索
[于怨嗟之地重生：守狱犬之章 第一幕] 操作面前的机关
[于怨嗟之地重生：守狱犬之章 第一幕] 继续深入
[于怨嗟之地重生：守狱犬之章 第一幕] 我好饿…求求你，请给我点吃的。
[于怨嗟之地重生：守狱犬之章 第一幕] 别把纸条传给我，你要害死我们吗？求求你了,好饿，我真的好饿…
[于怨嗟之地重生：守狱犬之章 第一幕] 你再这样我就要举报你了。马上就是巡查时间，你最好也老实点。
[于怨嗟之地重生：守狱犬之章 第一幕] 好饿…
[于怨嗟之地重生：守狱犬之章 第一幕] 好饿…
[于怨嗟之地重生：守狱犬之章 第一幕] 好饿…
[于怨嗟之地重生：守狱犬之章 第一幕] 好饿…
[于怨嗟之地重生：守狱犬之章 第一幕] （接下来都在不断重复，字迹越来越轻，似乎没能形成有效交流。）
[于怨嗟之地重生：守狱犬之章 第一幕] （纸条的下半部有严重破损，还留下了肮脏的鞋印，看来纸条的主人已经被带走了。）
[于怨嗟之地重生：守狱犬之章 第一幕] 亲爱的劳伦，我最可爱的女儿，我不得不用这种形式向你道别。在我们分离之后，我每时每刻都希望能快一点离开梅洛彼得堡，我想要回到你的身边，重新变回你最仰慕的那个父亲。
[于怨嗟之地重生：守狱犬之章 第一幕] 或许只有我天真地认为罪人会被宽恕，在判决下达的那一刻，人就已经死了，只剩下用于赎罪的肉体。没有人会对肉体施以同情，因为它肮脏不堪，毫无价值。
[于怨嗟之地重生：守狱犬之章 第一幕] 不要做出错误的选择，劳伦，不要犯错，漂亮地活下去，努力变得更加优秀，努力拥抱水面之上一切光明之物，不要像我一样后悔。
[于怨嗟之地重生：守狱犬之章 第一幕] 不要尝试为我说话，这里的每个人都不可信，都是人面兽心的魔物，他们一点都不体面，随时都饥饿无比，所以一定要离得远远的。
[于怨嗟之地重生：守狱犬之章 第一幕] 无论你内心怎么看待我这样的父亲，我还是想告诉你，我真的很想见你，我很爱你。
[于怨嗟之地重生：守狱犬之章 第一幕] 尝试打开眼前的门
[于怨嗟之地重生：守狱犬之章 第一幕] 与赶来的看守交谈
[于怨嗟之地重生：守狱犬之章 第一幕] 返回中央房间，尝试打开新的门
[于怨嗟之地重生：守狱犬之章 第一幕] 进入最深处
[于怨嗟之地重生：守狱犬之章 第一幕] 消灭警卫机关
[于怨嗟之地重生：守狱犬之章 第一幕] 警卫机关被你们与莱欧斯利携手歼灭，杜吉耶陷入了恐慌之中。
[于怨嗟之地重生：守狱犬之章 第一幕] 情急之下，他选择将枪口转向派蒙，却在几乎同时就被冲上前去的莱欧斯利制服。
[于怨嗟之地重生：守狱犬之章 第一幕] 杜吉耶拼命挣扎，认为「公爵」应该以身作则，不可滥用暴力，而莱欧斯利选择用实际行动让杜吉耶在痛苦中明白，梅洛彼得堡的「规则」究竟握于何人之手。
[于怨嗟之地重生：守狱犬之章 第一幕] 抓住杜吉耶，解救受害者
[于怨嗟之地重生：守狱犬之章 第一幕] 看守解救了所有被囚禁在此地的「檐帽会」成员。
[于怨嗟之地重生：守狱犬之章 第一幕] 莱欧斯利花费了非常多的时间与每位成员交谈，安抚情绪并表达歉意。在那之后，他又布置了医疗与善后的工作安排。
[于怨嗟之地重生：守狱犬之章 第一幕] 至此「檐帽会」一事才告一段落。
[于怨嗟之地重生：守狱犬之章 第一幕] 前往莱欧斯利的办公室
[于怨嗟之地重生：守狱犬之章 第一幕] 与莱欧斯利交谈
[于怨嗟之地重生：守狱犬之章 第一幕] 等待至两天后（11点-13点）
[于怨嗟之地重生：守狱犬之章 第一幕] 前往特许食堂见莱欧斯利
[往日留痕: 潮涌之章 第一幕] 前往沫芒宫
[往日留痕: 潮涌之章 第一幕] 与那维莱特对话
[往日留痕: 潮涌之章 第一幕] 那维莱特在桌前写下了给芙宁娜的假条。
[往日留痕: 潮涌之章 第一幕] 向基娅拉询问威胁信的内容
[往日留痕: 潮涌之章 第一幕] 保护基娅拉完成工作
[往日留痕: 潮涌之章 第一幕] 跟随基娅拉
[往日留痕: 潮涌之章 第一幕] 与基娅拉对话
[往日留痕: 潮涌之章 第一幕] 寻找可疑的人影
[往日留痕: 潮涌之章 第一幕] 向夏洛蒂说明了基娅拉收到威胁信的事…
[往日留痕: 潮涌之章 第一幕] 与基娅拉会合
[往日留痕: 潮涌之章 第一幕] 返回沫芒宫
[往日留痕: 潮涌之章 第一幕] 询问那维莱特调查进展
[往日留痕: 潮涌之章 第一幕] 查看公文
[往日留痕: 潮涌之章 第一幕] 「犯人莱欧斯利对罪责供认不讳，那维莱特大人亲自做出判决。」
[往日留痕: 潮涌之章 第一幕] 「莱欧斯利被流放梅洛彼得堡，等待他的是艰苦的服刑。」
[往日留痕: 潮涌之章 第一幕] 「审判期间，那维莱特大人曾在法庭上沉默许久。」
[往日留痕: 潮涌之章 第一幕] 「刺玫会会长卡雷斯在决斗中落败，重伤不治。」
[往日留痕: 潮涌之章 第一幕] 「这场关于名誉的决斗落下帷幕，嫌犯卡雷斯自始至终并未抗辩。」
[往日留痕: 潮涌之章 第一幕] 「那维莱特大人对本案持保留意见，具体细节仍在调查中。」
[往日留痕: 潮涌之章 第一幕] 「警备队与逐影庭联手破获了一起走私案。」
[往日留痕: 潮涌之章 第一幕] 「案件主要参与者，根据其罪责大小，受到了不同程度的审判。」
[往日留痕: 潮涌之章 第一幕] 「名单附录请翻阅案件附录表。」
[往日留痕: 潮涌之章 第一幕] 「警备队内部出现一起严重的受贿案件。」
[往日留痕: 潮涌之章 第一幕] 「特巡队介入调查，现已将涉案人员全部逮捕。」
[往日留痕: 潮涌之章 第一幕] 「嫌疑人对罪行供认不讳。 」
[往日留痕: 潮涌之章 第一幕] 「代议会申请与逐影庭合作来完成部分民间活动。」
[往日留痕: 潮涌之章 第一幕] 「他们经过调查，认为美露莘可以为活动带来额外的人气。」
[往日留痕: 潮涌之章 第一幕] 「逐影庭暂未回复，但原则上也并不禁止。」
[往日留痕: 潮涌之章 第一幕] 与那维莱特对话
[往日留痕: 潮涌之章 第一幕] 那维莱特离开片刻，带回了几只精致的酒杯…
[往日留痕: 潮涌之章 第一幕] 前往露景泉
[往日留痕: 潮涌之章 第一幕] 调查周围情况
[往日留痕: 潮涌之章 第一幕] 靠近边界
[往日留痕: 潮涌之章 第一幕] 在附近区域探索
[往日留痕: 潮涌之章 第一幕] 欧庇克莱歌剧院公告板
[往日留痕: 潮涌之章 第一幕] 歌剧院中逐渐响起激烈的声音…
[往日留痕: 潮涌之章 第一幕] 「再见了，那维莱特大人。」
[往日留痕: 潮涌之章 第一幕] 「事情的起因本就是卡萝蕾天真的想法——」
[往日留痕: 潮涌之章 第一幕] 「不同种族之间怎么可能和平共处呢？」
[往日留痕: 潮涌之章 第一幕] 与那维莱特对话
[往日留痕: 潮涌之章 第一幕] 返回沫芒宫
[往日留痕: 潮涌之章 第一幕] 找到可疑的公文
[往日留痕: 潮涌之章 第一幕] 与娜维娅会合
[往日留痕: 潮涌之章 第一幕] 前往梅洛彼得堡
[往日留痕: 潮涌之章 第一幕] 与莱欧斯利对话
[往日留痕: 潮涌之章 第一幕] 对莱欧斯利说了美露莘遭受威胁的事…
[往日留痕: 潮涌之章 第一幕] 到医务室休息
[往日留痕: 潮涌之章 第一幕] 调查神秘小帮派
[往日留痕: 潮涌之章 第一幕] 将调查结果告诉那维莱特
[往日留痕: 潮涌之章 第一幕] 前往莱欧斯利办公室
[往日留痕: 潮涌之章 第一幕] 与莱欧斯利对话
[往日留痕: 潮涌之章 第一幕] 返回枫丹廷
[往日留痕: 潮涌之章 第一幕] 跟随那维莱特
[往日留痕: 潮涌之章 第一幕] 与那维莱特对话
[往日留痕: 潮涌之章 第一幕] 与夏洛蒂对话
[往日留痕: 潮涌之章 第一幕] 返回沫芒宫
[往日留痕: 潮涌之章 第一幕] 与基娅拉对话
[往日留痕: 潮涌之章 第一幕] （桌上物品互动（未完成魔神任务「罪人舞步旋」））
[往日留痕: 潮涌之章 第一幕] （那维莱特的感言（完成魔神任务「罪人舞步旋」））
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 与夏洛蒂对话
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 采访林尼
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 到墓园寻找嘉玛
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 与琳妮特对话
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 在附近打听消息（0/2）
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 在附近打听消息（1/2）
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 向嘉玛询问关于塞萨尔的事
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 等待到第二天上午（8:00-12:00）
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 与林尼会合
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 在饭店内询问洛伦佐
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 寻找埃德蒙多
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 去城外引出跟踪者
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 击败跟踪者
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 分析现状
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 将情况告诉嘉玛
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 进入塞萨尔的魔术工坊
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 与林尼一同搬开了箱子。这里似乎已经很久没有人来过了…
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 探索魔术工坊
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 继续向深处探索
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 清理失控机械
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 与林尼分开调查
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 完成魔术解谜
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 打开隐藏通道
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 在隐秘房间内调查线索
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 与林尼会合
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 击败洛伦佐的手下
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 问出塞萨尔坠亡的真相
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 离开魔术工坊
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 将洛伦佐移交给警备队
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 将情况告诉琳妮特与嘉玛
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 到墓地祭奠塞萨尔
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 等待到第二天傍晚（18:00-20:00）
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 到歌剧院观看魔术秀
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 舞台上的林尼娴熟地开始了魔术演出…
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 在安静的地方询问真相
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 观看高空逃生魔术
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 到墓园寻找林尼
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 等待到第二天上午（8:00-12:00）
[黑斑猫之章 第一幕：被遗忘的怪盗 ] 去蒸汽鸟报社门口看看
[邀约事件·凯亚 第一幕「鬼话与甜酒」] 〓路线攻略〓
[邀约事件·凯亚 第一幕「鬼话与甜酒」] End1 问题
[邀约事件·凯亚 第一幕「鬼话与甜酒」] End2 不系之舟
[邀约事件·凯亚 第一幕「鬼话与甜酒」] 「如果你也是追逐自由的人，就和所有人一齐歌唱吧。」
[邀约事件·凯亚 第一幕「鬼话与甜酒」] End3 温暖的葡萄
[邀约事件·凯亚 第一幕「鬼话与甜酒」] 「让我来看看盖伊写了些什么…」
[邀约事件·凯亚 第一幕「鬼话与甜酒」] End4 我们的太阳
[邀约事件·凯亚 第一幕「鬼话与甜酒」] 跟随太阳，一起逃跑！
[邀约事件·凯亚 第一幕「鬼话与甜酒」] End5 线人或是朋友
[邀约事件·凯亚 第一幕「鬼话与甜酒」] 「你希望做我的线人，还是朋友？」
[恢复如初，银瓶裹藏的故事] 前往蜃境的核心
[恢复如初，银瓶裹藏的故事] 与伊迪娅对话
